month,trunk_offered_erl,blocking_prob,kpi_met,channels_required,n_baseline,upgrade_needed
0,3.75,0.009555,True,9,9,False
1,3.7799,0.009963,True,9,9,False
2,3.81,0.010387,True,9,9,False
3,3.8404,0.010826,True,9,9,False
4,3.8711,0.011282,True,9,9,False
5,3.9019,0.011754,True,9,9,False
6,3.933,0.012242,True,9,9,False
7,3.9644,0.012749,True,9,9,False
8,3.996,0.013273,True,9,9,False
9,4.0279,0.013815,True,9,9,False
10,4.06,0.014376,True,9,9,False
11,4.0924,0.014956,True,9,9,False
12,4.125,0.015557,True,9,9,False
13,4.1579,0.016177,True,9,9,False
14,4.191,0.016818,True,9,9,False
15,4.2245,0.017481,True,9,9,False
16,4.2582,0.018165,True,9,9,False
17,4.2921,0.018872,True,9,9,False
18,4.3263,0.019601,True,9,9,False
19,4.3608,0.020353,False,10,9,True
20,4.3956,0.02113,False,10,9,True
21,4.4307,0.02193,False,10,9,True
22,4.466,0.022756,False,10,9,True
23,4.5016,0.023606,False,10,9,True
24,4.5375,0.024482,False,10,9,True
25,4.5737,0.025385,False,10,9,True
26,4.6102,0.026314,False,10,9,True
27,4.6469,0.027271,False,10,9,True
28,4.684,0.028255,False,10,9,True
29,4.7213,0.029268,False,10,9,True
30,4.759,0.030309,False,10,9,True
31,4.7969,0.031379,False,10,9,True
32,4.8352,0.032479,False,10,9,True
33,4.8737,0.033609,False,10,9,True
34,4.9126,0.034769,False,10,9,True
35,4.9518,0.035961,False,10,9,True
36,4.9913,0.037184,False,10,9,True
