month,telemetry_mbps,voice_mbps,video_mbps,total_mbps,utilisation,status
0,3.2e-05,0.0899,59.9101,60.0,0.6,SAFE
1,3.2e-05,0.0906,61.4273,61.5179,0.6152,SAFE
2,3.3e-05,0.0913,62.9829,63.0742,0.6307,SAFE
3,3.4e-05,0.092,64.5778,64.6699,0.6467,SAFE
4,3.4e-05,0.0928,66.2132,66.306,0.6631,SAFE
5,3.5e-05,0.0935,67.89,67.9835,0.6798,SAFE
6,3.6e-05,0.0943,69.6092,69.7035,0.697,SAFE
7,3.6e-05,0.095,71.372,71.4671,0.7147,PLAN UPGRADE
8,3.7e-05,0.0958,73.1795,73.2753,0.7328,PLAN UPGRADE
9,3.8e-05,0.0965,75.0327,75.1292,0.7513,PLAN UPGRADE
10,3.8e-05,0.0973,76.9328,77.0301,0.7703,PLAN UPGRADE
11,3.9e-05,0.0981,78.8811,78.9792,0.7898,PLAN UPGRADE
12,4e-05,0.0989,80.8786,80.9775,0.8098,PLAN UPGRADE
13,4.1e-05,0.0996,82.9268,83.0265,0.8303,PLAN UPGRADE
14,4.1e-05,0.1004,85.0269,85.1273,0.8513,PLAN UPGRADE
15,4.2e-05,0.1012,87.1801,87.2814,0.8728,PLAN UPGRADE
16,4.3e-05,0.102,89.3878,89.4899,0.8949,PLAN UPGRADE
17,4.4e-05,0.1029,91.6515,91.7544,0.9175,UPGRADE NOW
18,4.4e-05,0.1037,93.9725,94.0762,0.9408,UPGRADE NOW
19,4.5e-05,0.1045,96.3523,96.4568,0.9646,UPGRADE NOW
20,4.6e-05,0.1053,98.7923,98.8977,0.989,UPGRADE NOW
21,4.7e-05,0.1062,101.2941,101.4003,1.014,UPGRADE NOW
22,4.8e-05,0.107,103.8593,103.9664,1.0397,UPGRADE NOW
23,4.9e-05,0.1079,106.4894,106.5973,1.066,UPGRADE NOW
24,5e-05,0.1087,109.1862,109.2949,1.0929,UPGRADE NOW
25,5.1e-05,0.1096,111.9512,112.0609,1.1206,UPGRADE NOW
26,5.2e-05,0.1105,114.7863,114.8968,1.149,UPGRADE NOW
27,5.3e-05,0.1114,117.6931,117.8045,1.178,UPGRADE NOW
28,5.4e-05,0.1122,120.6736,120.7859,1.2079,UPGRADE NOW
29,5.5e-05,0.1131,123.7295,123.8427,1.2384,UPGRADE NOW
30,5.6e-05,0.114,126.8629,126.977,1.2698,UPGRADE NOW
31,5.7e-05,0.115,130.0755,130.1905,1.3019,UPGRADE NOW
32,5.8e-05,0.1159,133.3696,133.4855,1.3349,UPGRADE NOW
33,5.9e-05,0.1168,136.747,136.8639,1.3686,UPGRADE NOW
34,6e-05,0.1177,140.21,140.3278,1.4033,UPGRADE NOW
35,6.1e-05,0.1187,143.7607,143.8794,1.4388,UPGRADE NOW
36,6.2e-05,0.1196,147.4013,147.521,1.4752,UPGRADE NOW
