service_class,offered_load_erl,circuits_N,blocking_prob
telemetry,0.5,0,1.0
telemetry,0.5,1,0.3333333333333333
telemetry,0.5,2,0.07692307692307693
telemetry,0.5,3,0.012658227848101267
telemetry,0.5,4,0.0015797788309636653
telemetry,0.5,5,0.00015795293002685202
telemetry,0.5,6,1.3162570913350799e-05
telemetry,0.5,7,9.401827527234746e-07
telemetry,0.5,8,5.876141859231265e-08
telemetry,0.5,9,3.2645232444713684e-09
telemetry,0.5,10,1.6322616219692563e-10
telemetry,0.5,11,7.419371008896118e-12
telemetry,0.5,12,3.091404587039094e-13
telemetry,0.5,13,1.1890017642457913e-14
telemetry,0.5,14,4.246434872306396e-16
telemetry,0.5,15,1.4154782907687985e-17
telemetry,0.5,16,4.423369658652495e-19
telemetry,0.5,17,1.3009910760742634e-20
telemetry,0.5,18,3.6138641002062875e-22
telemetry,0.5,19,9.510168684753388e-24
telemetry,0.5,20,2.377542171188347e-25
voice,0.75,0,1.0
voice,0.75,1,0.42857142857142855
voice,0.75,2,0.13846153846153847
voice,0.75,3,0.033457249070631974
voice,0.75,4,0.006234126067882708
voice,0.75,5,0.000934245279754559
voice,0.75,6,0.00011676702383921328
voice,0.75,7,1.2510596037230094e-05
voice,0.75,8,1.1728670028717015e-06
voice,0.75,9,9.773890735308018e-08
voice,0.75,10,7.330417997745985e-09
voice,0.75,11,4.998012268692432e-10
voice,0.75,12,3.1237576678351915e-11
voice,0.75,13,1.8021678852862857e-12
voice,0.75,14,9.654470814032742e-14
voice,0.75,15,4.827235407016347e-15
voice,0.75,16,2.2627665970389126e-16
voice,0.75,17,9.982793810465791e-18
voice,0.75,18,4.159497421027413e-19
voice,0.75,19,1.641906876721347e-20
voice,0.75,20,6.157150787705052e-22
video,8.0,0,1.0
video,8.0,1,0.8888888888888888
video,8.0,2,0.7804878048780488
video,8.0,3,0.6754617414248021
video,8.0,4,0.5746352413019079
video,8.0,5,0.47900830312244175
video,8.0,6,0.3897518852439517
video,8.0,7,0.30816469996308754
video,8.0,8,0.2355702611236819
video,8.0,9,0.17314082767701147
video,8.0,10,0.1216610642529515
video,8.0,11,0.08128832048803103
video,8.0,12,0.051406387712357934
video,8.0,13,0.03066463364083672
video,8.0,14,0.01722089216661661
video,8.0,15,0.009100888927876954
video,8.0,16,0.004529831716282546
video,8.0,17,0.00212715109636748
video,8.0,18,0.00094450754937702
video,8.0,19,0.00039752929682318824
video,8.0,20,0.0001589864380225107
