time_s,end_time_s,site,service_class,duration_s,packet_size_bytes,bitrate_bps,dscp
4.1324,94.4288,BS3,telemetry,90.2964,256,0.0,46
10.3895,103.4891,BS4,telemetry,93.0996,256,0.0,46
32.1185,304.5504,BS4,telemetry,272.4319,256,0.0,46
45.6263,58.7695,BS2,telemetry,13.1432,256,0.0,46
58.8197,255.039,BS3,voice,196.2193,0,64000.0,26
97.1202,1262.8944,BS4,video,1165.7742,0,3000000.0,18
101.4889,171.9461,BS4,telemetry,70.4572,256,0.0,46
116.66,235.8637,BS4,voice,119.2036,0,64000.0,26
133.5799,374.6765,BS2,voice,241.0965,0,64000.0,26
160.1818,186.5016,BS3,telemetry,26.3198,256,0.0,46
188.9491,231.5859,BS3,telemetry,42.6369,256,0.0,46
193.8429,771.5733,BS5,video,577.7303,0,3000000.0,18
197.4592,202.5468,BS5,telemetry,5.0876,256,0.0,46
206.2285,239.7149,BS2,voice,33.4863,0,64000.0,26
219.0156,259.2091,BS4,telemetry,40.1935,256,0.0,46
288.505,428.6764,BS1,telemetry,140.1714,256,0.0,46
296.3499,322.5302,BS5,telemetry,26.1803,256,0.0,46
303.0164,311.4345,BS2,telemetry,8.4182,256,0.0,46
305.5762,492.1545,BS5,voice,186.5783,0,64000.0,26
325.5642,344.1787,BS2,telemetry,18.6145,256,0.0,46
352.5661,486.5829,BS5,telemetry,134.0169,256,0.0,46
379.5835,514.7316,BS4,voice,135.1481,0,64000.0,26
392.0592,436.4599,BS4,telemetry,44.4008,256,0.0,46
432.0325,451.5882,BS3,telemetry,19.5557,256,0.0,46
441.6642,466.4945,BS2,telemetry,24.8303,256,0.0,46
457.3599,515.1674,BS4,voice,57.8074,0,64000.0,26
480.4064,735.548,BS2,voice,255.1416,0,64000.0,26
523.8021,653.3888,BS2,telemetry,129.5867,256,0.0,46
536.8074,581.1984,BS3,video,44.391,0,3000000.0,18
574.6764,591.464,BS1,telemetry,16.7877,256,0.0,46
581.3802,680.1529,BS1,video,98.7727,0,3000000.0,18
585.0488,672.2085,BS1,telemetry,87.1596,256,0.0,46
601.0678,1174.8604,BS3,voice,573.7926,0,64000.0,26
604.0273,782.1707,BS3,telemetry,178.1435,256,0.0,46
611.1795,681.3432,BS5,telemetry,70.1637,256,0.0,46
641.3672,707.5136,BS5,telemetry,66.1464,256,0.0,46
651.8862,910.0525,BS3,telemetry,258.1663,256,0.0,46
659.1337,661.3648,BS3,telemetry,2.2311,256,0.0,46
671.6465,830.9524,BS1,video,159.3059,0,3000000.0,18
675.8589,764.9313,BS5,telemetry,89.0724,256,0.0,46
699.0739,770.0997,BS5,telemetry,71.0258,256,0.0,46
708.3275,1016.2509,BS5,video,307.9234,0,3000000.0,18
708.6192,922.3425,BS2,voice,213.7233,0,64000.0,26
708.8085,779.0834,BS2,telemetry,70.2748,256,0.0,46
717.3036,1346.0448,BS4,voice,628.7412,0,64000.0,26
720.9315,724.5943,BS4,telemetry,3.6628,256,0.0,46
729.3225,800.6878,BS2,telemetry,71.3653,256,0.0,46
745.384,1136.1923,BS3,video,390.8084,0,3000000.0,18
754.2441,941.7019,BS1,telemetry,187.4578,256,0.0,46
