link_id,distance_km,frequency_ghz,EIRP_dBm,FSPL_dB,atm_loss_dB,rain_loss_dB,RSL_dBm,sensitivity_dBm,fade_margin_dB,min_margin_dB,pass,status,timestamp_utc,link_type,s2_link_util
BS1→CR-1,22.67,7.0,59.0,136.5,0.5,0.453,-46.4,-85.0,38.6,20.0,True,PASS,2026-04-23T18:33:26.410Z,primary_7GHz,0.32048
BS2→CR-1,22.67,7.0,59.0,136.5,0.5,0.453,-46.4,-85.0,38.6,20.0,True,PASS,2026-04-23T18:33:26.410Z,primary_7GHz,0.32048
BS3→CR-1,22.67,7.0,59.0,136.5,0.5,0.453,-46.4,-85.0,38.6,20.0,True,PASS,2026-04-23T18:33:26.410Z,primary_7GHz,0.32048
BS4→CR-1,17.0,7.0,59.0,134.0,0.5,0.34,-43.8,-85.0,41.2,20.0,True,PASS,2026-04-23T18:33:26.410Z,primary_7GHz,0.32048
BS5→CR-1,22.67,7.0,59.0,136.5,0.5,0.453,-46.4,-85.0,38.6,20.0,True,PASS,2026-04-23T18:33:26.410Z,primary_7GHz,0.32048
BS1→CR-2,16.97,7.0,59.0,133.9,0.5,0.339,-43.8,-85.0,41.2,20.0,True,PASS,2026-04-23T18:33:26.410Z,backup_7GHz,0.09614
BS2→CR-2,25.06,7.0,59.0,137.3,0.5,0.501,-47.3,-85.0,37.7,20.0,True,PASS,2026-04-23T18:33:26.410Z,backup_7GHz,0.09614
BS3→CR-2,21.63,7.0,59.0,136.1,0.5,0.433,-46.0,-85.0,39.0,20.0,True,PASS,2026-04-23T18:33:26.410Z,backup_7GHz,0.09614
BS4→CR-2,20.62,7.0,59.0,135.6,0.5,0.412,-45.5,-85.0,39.5,20.0,True,PASS,2026-04-23T18:33:26.410Z,backup_7GHz,0.09614
BS5→CR-2,28.43,7.0,59.0,138.4,0.5,0.569,-48.5,-85.0,36.5,20.0,True,PASS,2026-04-23T18:33:26.410Z,backup_7GHz,0.09614
CR-1↔CR-2,5.83,13.0,61.0,130.0,0.5,0.117,-33.7,-83.0,49.3,20.0,True,PASS,2026-04-23T18:33:26.410Z,backbone_13GHz,0.20511
