timestamp_utc,timestamp_local,run_id,outdoor_coverage_pct,indoor_coverage_pct,sir_pass_pct,recommended_K,sir_at_K7_dB,D_R_ratio_K7,channels_per_sector,breaking_tx_dbm,s2_link_util_baseline,s2_bhca,s2_channels_voice,model,frequency_mhz,tx_power_dbm,antenna_height_m,n_sites,district_km2
2026-04-22T14:25:12.597Z,2026-04-22 16:25:12.597,1776867912,4.641,1.253,100.0,7,18.66,4.5826,9,30,0.32048,23.0,4,COST 231-Hata,1800.0,43.0,30.0,7,2500.0
2026-04-23T18:26:15.985Z,2026-04-23 20:26:15.985,1776968775,4.641,1.253,100.0,7,18.66,4.5826,9,30,0.32048,23.0,4,COST 231-Hata,1800.0,43.0,30.0,7,2500.0
2026-04-23T18:28:44.892Z,2026-04-23 20:28:44.892,1776968924,4.641,1.253,100.0,7,18.66,4.5826,9,30,0.32048,23.0,4,COST 231-Hata,1800.0,43.0,30.0,7,2500.0
2026-04-23T18:29:55.568Z,2026-04-23 20:29:55.568,1776968995,4.641,1.253,100.0,7,18.66,4.5826,9,30,0.32048,23.0,4,COST 231-Hata,1800.0,43.0,30.0,7,2500.0
2026-04-23T18:33:32.634Z,2026-04-23 20:33:32.634,1776969212,4.641,1.253,100.0,7,18.66,4.5826,9,30,0.32048,23.0,4,COST 231-Hata,1800.0,43.0,30.0,7,2500.0
2026-04-23T19:18:04.996Z,2026-04-23 21:18:04.996,1776971884,4.641,1.253,100.0,7,18.66,4.5826,9,30,0.32048,23.0,4,COST 231-Hata,1800.0,43.0,30.0,7,2500.0
2026-04-23T19:21:09.620Z,2026-04-23 21:21:09.620,1776972069,4.641,1.253,100.0,7,18.66,4.5826,9,30,0.32048,23.0,4,COST 231-Hata,1800.0,43.0,30.0,7,2500.0
2026-04-23T19:21:21.936Z,2026-04-23 21:21:21.936,1776972081,4.641,1.253,100.0,7,18.66,4.5826,9,30,0.32048,23.0,4,COST 231-Hata,1800.0,43.0,30.0,7,2500.0
2026-04-23T19:22:16.419Z,2026-04-23 21:22:16.419,1776972136,4.641,1.253,100.0,7,18.66,4.5826,9,30,0.32048,23.0,4,COST 231-Hata,1800.0,43.0,30.0,7,2500.0
2026-04-23T19:22:28.310Z,2026-04-23 21:22:28.310,1776972148,4.641,1.253,100.0,7,18.66,4.5826,9,30,0.32048,23.0,4,COST 231-Hata,1800.0,43.0,30.0,7,2500.0
2026-04-23T19:28:01.082Z,2026-04-23 21:28:01.082,1776972481,4.641,1.253,100.0,7,18.66,4.5826,9,30,0.32048,23.0,4,COST 231-Hata,1800.0,43.0,30.0,7,2500.0
2026-04-23T19:28:13.877Z,2026-04-23 21:28:13.877,1776972493,4.641,1.253,100.0,7,18.66,4.5826,9,30,0.32048,23.0,4,COST 231-Hata,1800.0,43.0,30.0,7,2500.0
