link,frequency_ghz,distance_km,fspl_db,eirp_dbm,rx_power_dbm,link_margin_db,req_fade_margin_db,rain_att_db,net_margin_db,capacity_mbps,status
BS1→CR-1 (primary),7.0,22.67,136.5,57.0,-45.5,39.5,20.0,6.33,33.2,100,PASS
BS1→CR-2 (backup),7.0,16.97,133.9,57.0,-42.9,42.1,20.0,4.74,37.4,100,PASS
BS2→CR-1 (primary),7.0,22.67,136.5,57.0,-45.5,39.5,20.0,6.33,33.2,100,PASS
BS2→CR-2 (backup),7.0,25.06,137.3,57.0,-46.3,38.7,20.0,7.0,31.7,100,PASS
BS3→CR-1 (primary),7.0,22.67,136.5,57.0,-45.5,39.5,20.0,6.33,33.2,100,PASS
BS3→CR-2 (backup),7.0,21.63,136.1,57.0,-45.1,39.9,20.0,6.04,33.9,100,PASS
BS4→CR-1 (primary),7.0,17.0,134.0,57.0,-43.0,42.0,20.0,4.75,37.2,100,PASS
BS4→CR-2 (backup),7.0,20.62,135.6,57.0,-44.6,40.4,20.0,5.76,34.6,100,PASS
BS5→CR-1 (primary),7.0,22.67,136.5,57.0,-45.5,39.5,20.0,6.33,33.2,100,PASS
BS5→CR-2 (backup),7.0,28.43,138.4,57.0,-47.4,37.6,20.0,7.94,29.7,100,PASS
CR-1↔CR-2 (backbone 13 GHz),13.0,5.83,130.0,59.0,-33.0,50.0,20.0,6.15,43.8,400,PASS
