load_multiplier,site,demand_mbps,link_utilisation,link_status
1.0,BS1,2.058,0.02058,good
1.0,BS2,2.058,0.02058,good
1.0,BS3,2.058,0.02058,good
1.0,BS4,2.058,0.02058,good
1.0,BS5,2.058,0.02058,good
1.5,BS1,4.6305,0.046305,good
1.5,BS2,4.6305,0.046305,good
1.5,BS3,4.6305,0.046305,good
1.5,BS4,4.6305,0.046305,good
1.5,BS5,4.6305,0.046305,good
2.0,BS1,8.232,0.08232,good
2.0,BS2,8.232,0.08232,good
2.0,BS3,8.232,0.08232,good
2.0,BS4,8.232,0.08232,good
2.0,BS5,8.232,0.08232,good
2.5,BS1,12.8625,0.128625,good
2.5,BS2,12.8625,0.128625,good
2.5,BS3,12.8625,0.128625,good
2.5,BS4,12.8625,0.128625,good
2.5,BS5,12.8625,0.128625,good
3.0,BS1,18.5223,0.185223,good
3.0,BS2,18.5223,0.185223,good
3.0,BS3,18.5223,0.185223,good
3.0,BS4,18.5223,0.185223,good
3.0,BS5,18.5223,0.185223,good
3.5,BS1,25.2109,0.252109,good
3.5,BS2,25.2109,0.252109,good
3.5,BS3,25.2109,0.252109,good
3.5,BS4,25.2109,0.252109,good
3.5,BS5,25.2109,0.252109,good
4.0,BS1,32.9284,0.329284,good
4.0,BS2,32.9284,0.329284,good
4.0,BS3,32.9284,0.329284,good
4.0,BS4,32.9284,0.329284,good
4.0,BS5,32.9284,0.329284,good
5.0,BS1,51.4505,0.514505,good
5.0,BS2,51.4505,0.514505,good
5.0,BS3,51.4505,0.514505,good
5.0,BS4,51.4505,0.514505,good
5.0,BS5,51.4505,0.514505,good
